순번,의료기관명,시도명,시군구명,주소,형태
2867,황산내과의원,경기도,김포시,경기도 김포시 김포한강4로 131 402-403호 (장기동  정현메디피아),의원
2868,연동필치과의원,제주특별자치도,제주시,제주특별자치도 제주시 신대로 72 302호 (연동) ,의원
2869,장수군보건의료원,전북특별자치도,장수군,전북특별자치도 장수군 장수읍 장천로 247 ,보건기관
2870,메디피아산부인과의원,경기도,남양주시,경기도 남양주시 경춘로 1511 (호평동) ,의원
2871,아라의원,경상남도,함안군,경상남도 함안군 가야읍 방목1길 16-27,의원
2872,보스톤치과의원,서울특별시,강남구,서울특별시 강남구 남부순환로 2941 대치탑프라자 (대치동) ,의원
2873,서울아산가정의학과의원,인천광역시,부평구,인천광역시 부평구 부영로189번길 51 오남프라자 507호  508(일부)호 (산곡동),의원
2874,포천치과의원,경기도,포천시,경기도 포천시 중앙로 124-1 (신읍동),의원
2875,덕영내과의원,경상남도,의령군,경상남도 의령군 의령읍 의병로 217 덕영내과 ,의원
2876,관악정의원,서울특별시,관악구,서울특별시 관악구 난곡로 349-1 (신림동),의원
2877,새길내과의원,부산광역시,동래구,부산광역시 동래구 금강공원로 11 3층 301 302호 (온천동  온천 메디 플러스) ,의원
2878,고양시덕양구보건소,경기도,고양시 덕양구,경기도 고양시 덕양구 원당로33번길 28 (주교동),보건기관
2879,하얀치과의원,대구광역시,달서구,대구광역시 달서구 월배로 397 (송현동) ,의원
2880,와인치과의원,서울특별시,성동구,서울특별시 성동구 독서당로 220 5층 (옥수동) ,의원
2881,양구세브란스 가정의학과의원,강원특별자치도,양구군,강원특별자치도 양구군 양구읍 청춘로 11 ,의원
2882,개포민마취통증의학과의원,서울특별시,강남구,서울특별시 강남구 개포로 623 대청타워 234 234-1호 (개포동) ,의원
2883,공단제일치과의원,경기도,시흥시,경기도 시흥시 정왕천로 155 (주)트윈시스템 A동 2층 C202호 (정왕동),의원
2884,성남선의원,경기도,성남시 중원구,경기도 성남시 중원구 광명로 318 2-3층 (금광동) ,의원
2885,청담맥의원,서울특별시,관악구,서울특별시 관악구 신림로 261 2 3층 (신림동),의원
2886,한빛정신건강의학과의원,광주광역시,북구,광주광역시 북구 북문대로 133 3층 301호 (운암동  운현빌딩) ,의원
2887,한마음외과의원,부산광역시,북구,부산광역시 북구 만덕1로10번길 2 4층 (만덕동),의원
2888,김내과의원,세종특별자치시,세종특별자치시,세종특별자치시 조치원읍 새내로 98,의원
2889,하승우내과의원,대구광역시,중구,대구광역시 중구 달구벌대로 2212 (대봉동),의원
2890,이화의원,경기도,안양시 동안구,경기도 안양시 동안구 경수대로 458 205호 (호계동  현대홈타운상가),의원
2891,박영환치과의원,부산광역시,연제구,부산광역시 연제구 과정로 102 3층 (연산동) ,의원
2892,한양내과의원,경기도,성남시 분당구,경기도 성남시 분당구 돌마로 68 404호 (구미동  분당프라자) ,의원
2893,두리치과의원,광주광역시,서구,광주광역시 서구 풍암중앙로 55 4층 (풍암동),의원
2894,의료법인 강릉동인병원,강원특별자치도,강릉시,강원특별자치도 강릉시 강릉대로419번길 42-0 (포남동) ,병원
2895,마리앤라인의원,서울특별시,종로구,서울특별시 종로구 대학로 130 5층 (동숭동),의원
2896,강일병원,경상남도,김해시,경상남도 김해시 가락로 359 (구산동) ,병원
2897,박정제치과의원,경기도,용인시 기흥구,경기도 용인시 기흥구 신구로54번길 9 (구갈동),의원
2898,그린빌의원,대구광역시,달성군,대구광역시 달성군 화원읍 성암로1길 9,의원
2899,주민의원,전라남도,나주시,전라남도 나주시 예향로 3817 (이창동),의원
2900,삼성내과의원,대구광역시,수성구,대구광역시 수성구 범어로 113 (범어동),의원
2901,명천가정의원,충청남도,보령시,충청남도 보령시 주공로 65 (명천동),의원
2902,서울아산탑내과의원,서울특별시,송파구,서울특별시 송파구 마천로 25 민성빌딩 2층 (방이동),의원
2903,연세라임치과의원,서울특별시,마포구,서울특별시 마포구 서강로 137 203호 (노고산동  까사빌),의원
2904,늘푸른치과의원,광주광역시,서구,광주광역시 서구 운천로 32 4층 (금호동),의원
2905,효성의원,전북특별자치도,익산시,전북특별자치도 익산시 인북로 39 (인화동1가) ,의원
2906,파티마의원,부산광역시,북구,부산광역시 북구 시랑로 159 2층 (구포동  양지빌딩),의원
2907,경주연합의원,경상북도,경주시,경상북도 경주시 용황로11길 36 3층 (용강동) ,의원
2908,햇빛병원,서울특별시,강북구,서울특별시 강북구 도봉로 74 (미아동) ,병원
2909,건강한치아건치과의원,전북특별자치도,군산시,전북특별자치도 군산시 동아로 153 202호 (산북동) ,의원
2910,올바른치과교정과치과의원,대구광역시,중구,대구광역시 중구 달구벌대로 2135 2층 (봉산동),의원
2911,빛치과의원,서울특별시,송파구,서울특별시 송파구 올림픽로 145 (잠실동  리센츠상가 4B 19호) ,의원
2912,문순영정형외과의원,서울특별시,금천구,서울특별시 금천구 독산로 218 (독산동),의원
2913,박숙현정신건강의학과의원,부산광역시,수영구,부산광역시 수영구 수영로 382 (남천동  광림빌딩5층),의원
2914,중계우리들의원,서울특별시,노원구,서울특별시 노원구 한글비석로 235 하나프라자빌딩 401호 402호 403호 (중계동),의원
2915,서울나은병원,서울특별시,동대문구,서울특별시 동대문구 왕산로 137 (제기동),병원
2916,용현한의원,인천광역시,미추홀구,인천광역시 미추홀구 토금남로 53 (용현동  뉴한양프라자 109호) ,의원
2917,다정내과의원,세종특별자치시,세종특별자치시,세종특별자치시 다정중앙로 57 다정센타프라자 306 307호 (다정동),의원
2918,우리소아청소년과의원,서울특별시,용산구,서울특별시 용산구 새창로 70-0 304호 (도원동  삼성래미안아파트),의원
2919,서림한의원,대전광역시,유성구,대전광역시 유성구 엑스포로 471-1 1층 (전민동) ,의원
2920,대치궁한의원,서울특별시,강남구,서울특별시 강남구 삼성로 233 2층 210호 (대치동  신사빌딩) ,의원
2921,고운맘소아청소년과의원,경기도,양주시,경기도 양주시 옥정로 196 파스텔시티 401호 402호일부 (옥정동),의원
2922,서울의원,경기도,화성시,경기도 화성시 우정읍 조암남로 8 ,의원
2923,속안심내과연합의원,대구광역시,동구,대구광역시 동구 안심로 366 5 6층 (신서동) ,의원
2924,서울의원,경기도,연천군,경기도 연천군 전곡읍 전곡로167번길 6,의원
2925,유쾌한비뇨기과의원,경기도,성남시 수정구,경기도 성남시 수정구 위례광장로 310 A동 6층 603 604호 (창곡동  우성트램타워),의원
2926,길치과의원,서울특별시,서대문구,서울특별시 서대문구 통일로 397 B306호 (홍제동  한신휴플러스상가) ,의원
2927,동수녹십자의원,인천광역시,부평구,인천광역시 부평구 장제로 27 201호 (부평동  해마루),의원
2928,한빛내과의원,부산광역시,동구,부산광역시 동구 중앙대로 233 (초량동  해정빌딩),의원
2929,한마음의원,서울특별시,광진구,서울특별시 광진구 자양로 126 (구의동),의원
2930,속편한내과의원,광주광역시,광산구,광주광역시 광산구 첨단중앙로 102 2층 (월계동) ,의원
2931,전내과의원,울산광역시,남구,울산광역시 남구 번영로107번길 1 3-5층 (달동),의원
2932,더영의원,서울특별시,종로구,서울특별시 종로구 종로 74 영안빌딩 4층 (종로2가) ,의원
2933,한사랑마취통증의학과의원,전북특별자치도,김제시,전북특별자치도 김제시 금산면 원평6길 4 ,의원
2934,미금성모의원,경기도,성남시 분당구,경기도 성남시 분당구 돌마로90번길 4 206호 (구미동  엘레강스프라자) ,의원
2935,온누리정신과의원,충청북도,옥천군,충청북도 옥천군 옥천읍 삼금로 21,의원
2936,탑비뇨기과의원,서울특별시,구로구,서울특별시 구로구 개봉로24길 46 206-208호 (개봉동  신영지웰 에스테이트 개봉역) ,의원
2937,대덕의원,대전광역시,대덕구,대전광역시 대덕구 신탄진로 230 (와동) ,의원
2938,고내과의원,대구광역시,달성군,대구광역시 달성군 화원읍 비슬로 2717 3층 (동아빌딩) ,의원
2939,내안애내과의원,서울특별시,마포구,서울특별시 마포구 마포대로 68 604-607호 (도화동  마포아크로타워) ,의원
2940,영진한의원,전북특별자치도,전주시 완산구,전북특별자치도 전주시 완산구 소대배기로 9 2층 (평화동2가) ,의원
2941,전재민내과의원,경기도,안양시 동안구,경기도 안양시 동안구 평촌대로227번길 50 4층 (호계동  명성빌딩),의원
2942,임채갑가정의학과의원,울산광역시,중구,울산광역시 중구 태화로 178 1층 (태화동) ,의원
2943,한빛정신건강의학과의원,경상남도,진주시,경상남도 진주시 진주대로 1083 1 2층 (평안동) ,의원
2944,기아치과병원,광주광역시,서구,광주광역시 서구 화운로 277 3층 (내방동),병원
2945,늘다봄의원,부산광역시,동래구,부산광역시 동래구 아시아드대로 142 사직빌딩 1동 2층 (사직동) ,의원
2946,강내과의원,경기도,남양주시,경기도 남양주시 와부읍 덕소로 214 ,의원
2947,행복의원,경기도,의정부시,경기도 의정부시 평화로 152 3층 (호원동),의원
2948,창원경상국립대학교병원,경상남도,창원시 성산구,경상남도 창원시 성산구 삼정자로 11 (성주동  창원경상대학교병원) ,병원
2949,성서정형외과의원,대구광역시,달서구,대구광역시 달서구 달구벌대로 1352 2층 (이곡동),의원
2950,마석치과의원,경기도,남양주시,경기도 남양주시 화도읍 마석중앙로28번길 19 2층 (현대빌딩),의원
2951,우리내과의원,서울특별시,금천구,서울특별시 금천구 시흥대로 214 (시흥동  비즈메드),의원
2952,참편한내과의원,충청남도,아산시,충청남도 아산시 배방읍 북수로 128 202호 (홍인빌딩),의원
2953,맑은치과의원,울산광역시,남구,울산광역시 남구 문수로 414 5층 (신정동) ,의원
2954,군산가정의학과의원,전북특별자치도,군산시,전북특별자치도 군산시 의료원로 121 (나운동) ,의원
2955,박주형내과의원,광주광역시,광산구,광주광역시 광산구 하남대로 288 2층 (운남동) ,의원
2956,허용진내과의원,부산광역시,사상구,부산광역시 사상구 학감대로 120 201호 (학장동  현재빌딩),의원
2957,수완반석치과의원,광주광역시,광산구,광주광역시 광산구 풍영로101번안길 1-7 3층 (흑석동) ,의원
2958,굿모닝플러스치과의원,서울특별시,강서구,서울특별시 강서구 양천로 628 (염창동) ,의원
2959,해인당한의원,인천광역시,연수구,인천광역시 연수구 함박뫼로 68 (연수동) ,의원
2960,제일치과의원,전북특별자치도,남원시,전북특별자치도 남원시 용성로 49-1 (동충동) ,의원
2961,김진만한의원,전라남도,순천시,전라남도 순천시 풍덕주택길 12 1-2층 (풍덕동) ,의원
2962,한샘가정의학과의원,경기도,파주시,경기도 파주시 법원읍 술이홀로 893 ,의원
2963,차앤윤산부인과의원,경기도,부천시 오정구,경기도 부천시 오정구 역곡로 470 유진프라자 5층 (고강동) ,의원
2964,우리치과의원,경상북도,안동시,경상북도 안동시 경북대로 399 3층 (옥동) ,의원
2965,예스마취통증의학과의원,서울특별시,영등포구,서울특별시 영등포구 당산로44길 3 309호 (당산동5가  삼성타운),의원
2966,박찬권내과의원,대전광역시,동구,대전광역시 동구 동부로73번길 6 (판암동),의원
2967,우리이비인후과의원,세종특별자치시,세종특별자치시,세종특별자치시 보듬3로 92 409호 (아름동  해피라움2상가),의원
2968,스마일치과의원,서울특별시,관악구,서울특별시 관악구 남부순환로 1838 4층 (봉천동  cs타워),의원
2969,김판석비뇨기과의원,대구광역시,중구,대구광역시 중구 경상감영길 94 (포정동) ,의원
2970,누리정형외과의원,충청남도,천안시 동남구,충청남도 천안시 동남구 충무로 421 2 3층 (영성동) ,의원
2971,시흥치과의원,경기도,시흥시,경기도 시흥시 삼미시장1길 17 (신천동) ,의원
2972,금강아산병원(재단법인 아산사회복지재단),서울특별시,용산구,서울특별시 용산구 이촌로 318 (이촌동),병원
2973,황내과의원,경상북도,경주시,경상북도 경주시 원화로 278 2.4층 (성동동),의원
2974,최태진내과의원,서울특별시,구로구,서울특별시 구로구 천왕로 32 천왕에이스프라자 302호 (천왕동),의원
2975,연세열린의원,충청남도,천안시 서북구,충청남도 천안시 서북구 성거읍 성거길 81,의원
2976,김봉희이비인후과의원,부산광역시,중구,부산광역시 중구 광복중앙로 35 (대청동2가),의원
2977,파주연합의원,경기도,파주시,경기도 파주시 탄현면 하늘소로 106 (정림빌딩) ,의원
2978,서귀포시서부보건소,제주특별자치도,서귀포시,제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12,보건기관
2979,닥터스랜드의원,서울특별시,영등포구,서울특별시 영등포구 영신로32길 28 일신빌딩 3층 (영등포동4가) ,의원
2980,코알라이비인후과의원,서울특별시,구로구,서울특별시 구로구 오류로8길 16 세명프라자 202호 (오류동),의원
2981,김성수신경과의원,대구광역시,달서구,대구광역시 달서구 월배로 489 2층 (송현동),의원
2982,스마일치과의원,부산광역시,연제구,부산광역시 연제구 과정로 185 2층 (연산동) ,의원
2983,하나의원,인천광역시,미추홀구,인천광역시 미추홀구 인하로352번길 4 (주안동),의원
2984,나우정신과의원,서울특별시,강동구,서울특별시 강동구 천호대로 1033 5층 (천호동) ,의원
2985,신창내과의원,서울특별시,도봉구,서울특별시 도봉구 덕릉로 233 (창동) ,의원
2986,서울다정치과의원,대전광역시,서구,대전광역시 서구 관저로14번길 40 비젼9 201호 (관저동) ,의원
2987,로뎀나무내과의원,경기도,평택시,경기도 평택시 중앙로 82-1 (합정동) ,의원
2988,소나무치과의원,경기도,김포시,경기도 김포시 고촌읍 김포대로 331 2층 ,의원
2989,하나로의원,전라남도,함평군,전라남도 함평군 함평읍 내바람길 42 함평농협 2층,의원
2990,서울의원,경기도,안산시 상록구,경기도 안산시 상록구 건건3길 5 401호 (건건동  센타프라자),의원
2991,이지흉부외과의원,충청남도,천안시 서북구,충청남도 천안시 서북구 동서대로 125-3 5층 (성정동) ,의원
2992,뉴연세치과의원,경기도,용인시 기흥구,경기도 용인시 기흥구 동백중앙로 283 골드프라자 B동 406-407호 (중동) ,의원
2993,큰내과의원,부산광역시,사상구,부산광역시 사상구 광장로 77 2층 (괘법동),의원
2994,진주이비인후과의원,경상남도,진주시,경상남도 진주시 진주대로 1051 (대안동),의원
2995,김동인속내과의원,대구광역시,달성군,대구광역시 달성군 논공읍 논공로 749 1층,의원
2996,삼성의원,경상북도,포항시 남구,경상북도 포항시 남구 연일읍 연일로 123 2층 (삼성의원),의원
2997,올바른정형외과의원,경상북도,경산시,경상북도 경산시 진량읍 다문로 58 2층 ,의원
2998,웰키즈소아청소년과의원,세종특별자치시,세종특별자치시,세종특별자치시 보듬3로 95 해피라움3 307 308 309-1 310-2 401-5 410 603-8 705-6호(아름동) (아름동) ,의원
2999,이재복내과의원,부산광역시,부산진구,부산광역시 부산진구 중앙대로 930 (양정동),의원
3000,고려의원,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구 회원남로 83 (회원동  고려산부인과) ,의원
3001,애덴치과의원,대전광역시,서구,대전광역시 서구 문예로 61 4층 (둔산동) ,의원
3002,구룡포성모내과의원,경상북도,포항시 남구,경상북도 포항시 남구 구룡포읍 구룡포길 73-5,의원
3003,정미성소아과의원,경기도,고양시 일산서구,경기도 고양시 일산서구 일산로 580 (일산동),의원
3004,아산한빛의원,서울특별시,광진구,서울특별시 광진구 자양로 42 3층 (자양동),의원
3005,청담경희한의원,경기도,파주시,경기도 파주시 와석순환로 135 신한프라자602호 (동패동) ,의원
3006,온누리한의원,대구광역시,수성구,대구광역시 수성구 교학로11길 81 (만촌동  (2층)),의원
3007,연세미래체크업의원,경기도,용인시 기흥구,경기도 용인시 기흥구 중부대로 242 오토허브 A동 2층 일부호 (영덕동) ,의원
3008,늘푸른우리내과의원,대구광역시,중구,대구광역시 중구 명덕로 59 3층 (남산동) ,의원
3009,건강드림의원,서울특별시,은평구,서울특별시 은평구 진관4로 77 702동 114호 113호 (진관동  상림마을),의원
3010,김기훈치과의원,충청북도,청주시 청원구,충청북도 청주시 청원구 율봉로 97 3층 (율량동  베리돈타워) ,의원
3011,한빛연합의원,경기도,고양시 일산서구,경기도 고양시 일산서구 탄현로 115-22 305 306 315호 (탄현동  큰마을대림현대아파트주상가) ,의원
3012,우리들내과의원,경기도,용인시 수지구,경기도 용인시 수지구 상현로 34 성진프라자 202호 203호 (상현동),의원
3013,부산내과의원,부산광역시,동구,부산광역시 동구 범일로 104 (범일동),의원
3014,제경한의원,전북특별자치도,완주군,전북특별자치도 완주군 소양면 소양로 219 ,의원
3015,서울고려의원,경상남도,창녕군,경상남도 창녕군 부곡면 원앙로 211,의원
3016,김동희속내과의원,경상북도,경산시,경상북도 경산시 경안로 186 (중방동),의원
3017,삼성수의원,강원특별자치도,영월군,강원특별자치도 영월군 영월읍 중앙1로 15 (2층) ,의원
3018,김영준내과의원,서울특별시,중랑구,서울특별시 중랑구 동일로 865 2층 (묵동  김영준내과의원),의원
3019,불당메디칼의원,충청남도,천안시 서북구,충청남도 천안시 서북구 불당17길 27 5층 (불당동) ,의원
3020,강앤강내과의원,경기도,의정부시,경기도 의정부시 평화로 540 퍼시픽타워 4층 (의정부동),의원
3021,365연세의원,서울특별시,성동구,서울특별시 성동구 왕십리로 410 L동 3층 320호 (하왕십리동  센트라스),의원
3022,문산현대의원,경상남도,진주시,경상남도 진주시 문산읍 동부로 571 1층,의원
3023,의료법인삼정의료재단포항여성병원,경상북도,포항시 북구,경상북도 포항시 북구 포스코대로 269 (죽도동) ,병원
3024,경대속좋은내과의원,경상북도,포항시 북구,경상북도 포항시 북구 신덕로 248 (양덕동),의원
3025,로덴치과의원(경성대 부경대점),부산광역시,남구,부산광역시 남구 용소로 7 (대연동  청라빌딩 5 6층),의원
3026,구기한의원,서울특별시,종로구,서울특별시 종로구 진흥로 452 1층 (구기동),의원
3027,대영연합의원,경상북도,영주시,경상북도 영주시 꽃동산로 30 (휴천동),의원
3028,경희장생한의원,서울특별시,중랑구,서울특별시 중랑구 봉화산로56길 153 306층 (신내동),의원
3029,광명허병원내과의원,경기도,광명시,경기도 광명시 오리로 957 누가빌딩 2층 (광명동) ,의원
3030,권성현치과의원,대구광역시,북구,대구광역시 북구 동북로 163 (산격동  대우아파트 상가) ,의원
3031,키즈웰소아청소년과의원,인천광역시,계양구,인천광역시 계양구 오조산로 1 401호 (작전동  거승프라자),의원
3032,송정윤치과의원,광주광역시,광산구,광주광역시 광산구 내상로 11 4층 (송정동),의원
3033,해운대내과의원,부산광역시,해운대구,부산광역시 해운대구 해운대로 802 웅신시네아트 A동 418 419 420호 (좌동) ,의원
3034,최환준내과의원,부산광역시,동래구,부산광역시 동래구 아시아드대로 225 2층 (온천동),의원
3035,허경룡소아과의원,광주광역시,동구,광주광역시 동구 남문로 758 (학동),의원
3036,의료법인석영의료재단창원제일종합병원,경상남도,창원시 마산합포구,경상남도 창원시 마산합포구 3·15대로 238 (중앙동3가) ,병원
3037,르네이비인후과의원,대전광역시,유성구,대전광역시 유성구 대덕대로 582 옥토빌딩 502호 (도룡동) ,의원
3038,미래이비인후과의원,전북특별자치도,전주시 완산구,전북특별자치도 전주시 완산구 호암로 63 2층 (효자동2가) ,의원
3039,중앙허브치과의원,충청남도,서산시,충청남도 서산시 고운로 214 3층 (동문동) ,의원
3040,연세인의원,서울특별시,강남구,서울특별시 강남구 강남대로122길 50 2층 (논현동),의원
3041,원호치과의원,경상북도,구미시,경상북도 구미시 고아읍 문장로26길 3 낙원프라자 303호,의원
3042,광명부부치과의원,경상북도,청도군,경상북도 청도군 청도읍 청화로 149,의원
3043,본치과의원,강원특별자치도,강릉시,강원특별자치도 강릉시 입암로 157 2층 (입암동  제일빌딩) ,의원
3044,정관바른내과의원,부산광역시,기장군,부산광역시 기장군 정관읍 정관로 563 2층 201 203호 ,의원
3045,의산의료재단 강릉고려병원,강원특별자치도,강릉시,강원특별자치도 강릉시 옥가로 30 (옥천동) ,병원
3046,김재유내과의원,서울특별시,강남구,서울특별시 강남구 개포로 615 305호 (개포동),의원
3047,유앤미치과의원,경상남도,창원시 마산회원구,경상남도 창원시 마산회원구 3·15대로 727 (합성동  매디칼센타) ,의원
3048,김내과의원,경기도,이천시,경기도 이천시 장호원읍 장감로 77,의원
3049,은혜내과의원,경기도,부천시 원미구,경기도 부천시 원미구 신흥로 190 상가1동 229호 (중동  위브더스테이트) ,의원
3050,최치과의원,전북특별자치도,전주시 덕진구,전북특별자치도 전주시 덕진구 벚꽃로 57 (진북동) ,의원
3051,월드플란트치과의원,경상남도,창원시 성산구,경상남도 창원시 성산구 중앙대로100번길 9 리베라컨밴션 4층 401호 (상남동) ,의원
3052,소망의원,인천광역시,계양구,인천광역시 계양구 봉오대로555번길 14 4층 (효성동  썬프라자),의원
3053,참이비인후과의원,대구광역시,달서구,대구광역시 달서구 도원로 30 202호 (도원동  대곡프라자),의원
3054,다나가정의학과의원,서울특별시,서초구,서울특별시 서초구 신반포로 329 세기빌딩 202호 (잠원동),의원
3055,우리한의원,전라남도,여수시,전라남도 여수시 충무로 39 (교동),의원
3056,연세우리소아청소년과의원,서울특별시,영등포구,서울특별시 영등포구 선유로 70 209호 (문래동3가  우리벤처타운2),의원
3057,김홍열내과의원,서울특별시,금천구,서울특별시 금천구 금하로 651 2 3층 (시흥동),의원
3058,한일연합의원,전라남도,여수시,전라남도 여수시 중앙로 21 2층 (충무동) ,의원
3059,열린연세소아과의원,서울특별시,양천구,서울특별시 양천구 목동중앙북로 11 2층 (목동) ,의원
3060,동영연합의원,대구광역시,북구,대구광역시 북구 연암로 170 1층 3층 (산격동),의원
3061,김용준소아청소년과의원,부산광역시,사상구,부산광역시 사상구 가야대로 288 205호 (주례동  창조상가),의원
3062,맑은이비인후과의원,서울특별시,강동구,서울특별시 강동구 올림픽로 620 예투빌딩 5층 (성내동) ,의원
3063,중곡제일내과의원,서울특별시,광진구,서울특별시 광진구 면목로 127 2층 205 207 208호 (중곡동  신성그랜드타워),의원
3064,하이덴치과의원,인천광역시,연수구,인천광역시 연수구 먼우금로 96 3층 (동춘동  금송빌딩),의원
3065,의료법인행촌의료재단 해남종합병원,전라남도,해남군,전라남도 해남군 해남읍 해남로 45 ,병원
3066,길치과의원,경상남도,진주시,경상남도 진주시 초전북로 55 3층 (초전동),의원
3067,웰재활의학과의원,부산광역시,해운대구,부산광역시 해운대구 재반로 116 6층 (재송동  일창빌딩),의원
3068,상계가정의원,서울특별시,노원구,서울특별시 노원구 상계로 306 (상계동),의원
3069,미담치과의원,충청남도,당진시,충청남도 당진시 밤절로 136 401-402호 (수청동),의원
3070,군포치과의원,경기도,군포시,경기도 군포시 군포로 491 2층 (당동) ,의원
3071,부평현대정형외과의원,인천광역시,부평구,인천광역시 부평구 마장로 334 (산곡동 에스코빌딩 1층일부  2층전부) ,의원
3072,동산연합의원,경상북도,의성군,경상북도 의성군 안계면 안계길 154,의원
3073,조앤킴피부과의원,경기도,파주시,경기도 파주시 교하로 75 (목동동  신운정프라자3  203호 204호) ,의원
3074,전의원,경상남도,창원시 의창구,경상남도 창원시 의창구 북면 천주로 1080 2층,의원
3075,도량모아치과의원,경상북도,구미시,경상북도 구미시 도봉로 76-61 (도량동),의원
3076,제원당한의원,대구광역시,달서구,대구광역시 달서구 상인서로 94 203호 (상인동),의원
3077,만덕속시원내과의원,부산광역시,북구,부산광역시 북구 만덕1로10번길 2 2 3층 (만덕동),의원
3078,조삼권내과의원,서울특별시,양천구,서울특별시 양천구 지양로 78 2층 (신월동  우성상가),의원
3079,김가정의학과의원,경기도,부천시 원미구,경기도 부천시 원미구 장말로 102 207호 (상동  반달마을) ,의원
3080,인제대학교부산백병원,부산광역시,부산진구,부산광역시 부산진구 복지로 75  진사로83번길 75 진사로83번길 81  1층(일부)  3층 (개금동),병원
3081,원광대학교병원,전북특별자치도,익산시,전북특별자치도 익산시 무왕로 895 (신동) ,병원
3082,허연무내과의원,경기도,부천시 소사구,경기도 부천시 소사구 경인로 134 (송내동) ,의원
3083,이사랑치과의원,서울특별시,도봉구,서울특별시 도봉구 도봉로180나길 41 409호 410호 (도봉동  도봉한신아파트상가) ,의원
3084,수원선치과의원,경기도,수원시 팔달구,경기도 수원시 팔달구 정조로 766 (팔달로3가),의원
3085,세브란스의원,인천광역시,계양구,인천광역시 계양구 효서로 53 2  3층 일부호 (효성동),의원
3086,용인아산내과의원,경기도,용인시 처인구,경기도 용인시 처인구 금령로 108-1 (김량장동  S타워 2층 3층),의원
3087,허문회치과의원,부산광역시,남구,부산광역시 남구 석포로 34 205  206호 (감만동  국제아파트) ,의원
3088,김용현내과의원,충청남도,천안시 서북구,충청남도 천안시 서북구 성환읍 성환12길 45-8 ,의원
3089,리플란트치과의원,부산광역시,부산진구,부산광역시 부산진구 중앙대로 698 5층 (부전동  동강빌딩),의원
3090,오성치과병원,대구광역시,수성구,대구광역시 수성구 욱수천로 115 2층 (신매동),병원
3091,참사랑가정의학과의원,광주광역시,남구,광주광역시 남구 봉선2로 68 1층 일부호 (봉선동) ,의원
3092,사당연세365의원,서울특별시,관악구,서울특별시 관악구 과천대로 939 르메이에르강남타운2 301 302 303-1 303-2 310호 (남현동),의원
3093,온치과의원,부산광역시,사하구,부산광역시 사하구 낙동대로 428 5층 (당리동) ,의원
3094,이건치과의원,전북특별자치도,전주시 완산구,전북특별자치도 전주시 완산구 모악로 4733 2 3층 (평화동2가  미소빌딩) ,의원
3095,인덕한의원,경기도,부천시 오정구,경기도 부천시 오정구 역곡로481번길 19 (고강동) ,의원
3096,강치과의원,부산광역시,서구,부산광역시 서구 구덕로 296 2층 (동대신동2가) ,의원
3097,군포성모병원,경기도,군포시,경기도 군포시 용호1로2번길 47-7 군포성모병원빌딩 1층 2층 (당동) ,병원
3098,목포기독병원,전라남도,목포시,전라남도 목포시 백년대로 303 (상동) ,병원
3099,현대항분하지외과의원,서울특별시,강서구,서울특별시 강서구 화곡로 166 화수빌딩 5 6층 (화곡동),의원
3100,서울속내과의원,경기도,고양시 덕양구,경기도 고양시 덕양구 행신로 266 월드타워 203 301 302 303호 (행신동),의원
3101,미래연치과의원,충청북도,청주시 서원구,충청북도 청주시 서원구 산남로 48 3층 (산남동) ,의원
3102,연세그린치과의원,서울특별시,중랑구,서울특별시 중랑구 신내로7길 16 307호 (신내동  건영아파트B단지상가),의원
3103,남동연합의원,인천광역시,남동구,인천광역시 남동구 남동서로236번길 30 논현2차푸르지오시티 115-1호  211호 (논현동),의원
3104,예인치과의원,경기도,여주시,경기도 여주시 세종로 73 2층 (홍문동) ,의원
3105,다솜연합치과의원,충청북도,충주시,충청북도 충주시 봉계1길 56 (칠금동) ,의원
3106,대영한의원,부산광역시,남구,부산광역시 남구 못골로 18 2층 (대연동),의원
3107,무극한의원,충청북도,음성군,충청북도 음성군 금왕읍 각구실길 5,의원
3108,베스트가정의학과의원,광주광역시,광산구,광주광역시 광산구 풍영로330번길 15 (장덕동 고실마을 휴먼시아 상가동 203.204호),의원
3109,굿모닝내과의원,서울특별시,강북구,서울특별시 강북구 한천로105길 7 2층 (번동),의원
3110,꽃단비한의원,울산광역시,남구,울산광역시 남구 돋질로302번길 27 2층 (삼산동) ,의원
3111,사랑의내과소아청소년과의원,경기도,성남시 중원구,경기도 성남시 중원구 둔촌대로 388 크란츠 테크노 202-1호 (상대원동) ,의원
3112,튼튼정형외과의원,대구광역시,서구,대구광역시 서구 서대구로 74 (평리동),의원
3113,동탄아는치과의원,경기도,화성시,경기도 화성시 동탄지성로 108 3층 303-304호 (반송동  동탄삼성프라자) ,의원
3114,한마음치과의원,서울특별시,용산구,서울특별시 용산구 효창원로 265 (서계동),의원
3115,양재식내과의원,제주특별자치도,서귀포시,제주특별자치도 서귀포시 동문로 2 2층 (서귀동) ,의원
3116,우리미치과의원,대전광역시,유성구,대전광역시 유성구 계룡로 64 (봉명동 미성샤르망 206호) ,의원
3117,을지의원,전라남도,화순군,전라남도 화순군 화순읍 자치샘로 38-3 ,의원
3118,삼성웰치과의원,서울특별시,강남구,서울특별시 강남구 양재대로55길 11 3층 (일원동),의원
